,Article_ID,Unnamed: 0.1,Unnamed: 0,name,orcid,doi,title,date,journal,filename,correct_doi,length,contains_doi,path
11,10-1002_acp-3687,133,133,Łukasz Piotr Okruszek,https://orcid.org/0000-0002-7136-2864,https://doi.org/10.1002/acp.3687,Do you believe what you have been told? Morality and scientific literacy as predictors of pseudoscience susceptibility,2020-09,Applied Cognitive Psychology,Łukasz_Piotr_Okruszek_8,False,35.0,False,D:\data\ranking\pdfs\v1\10-1002_acp-3687.pdf
73,10-1002_j-1681-4835-2013-tb00402-x,169,169,Jolanta Kowal,https://orcid.org/0000-0002-6241-9603,https://doi.org/10.1002/j.1681-4835.2013.tb00402.x,Information and communication technology management for global competitiveness and economic growth in emerging economies,2017-12-05,Electronic Journal of Information Systems in Developing Countries,Jolanta_Kowal_10,False,12.0,False,D:\data\ranking\pdfs\v1\10-1002_j-1681-4835-2013-tb00402-x.pdf
100,10-1002_pon-4619,559,559,Aleksandra Karolina Kroemeke,https://orcid.org/0000-0001-8707-742X,https://doi.org/10.1002/pon.4619,Psychophysical well-being profiles in patients before hematopoietic stem cell transplantation,2018,Psycho-Oncology,Aleksandra_Karolina_Kroemeke_12,False,20.0,False,D:\data\ranking\pdfs\v1\10-1002_pon-4619.pdf
207,10-1007_s10943-020-01107-3#citeas,97,97,Dariusz Krok,https://orcid.org/0000-0002-1034-0944,https://doi.org/10.1007/s10943-020-01107-3#citeas,Disclosure to God as a Mediator Between Private Prayer and Psychological Well‑Being in a Christian Sample,2021-03-27,Journal of Religion and Health,Dariusz_Krok_6,False,13.0,True,D:\data\ranking\pdfs\v1\10-1007_s10943-020-01107-3#citeas.pdf
454,10-1016_j-brs-2017-01-437,492,492,Michał Wierzchoń,https://orcid.org/0000-0002-7347-2696,https://doi.org/10.1016/j.brs.2017.01.437,The neural basis of visual sensitivity investigated with anterior prefrontal TMS,2017-03,Brain Stimulation,Michał_Wierzchoń_25,False,1.0,False,D:\data\ranking\pdfs\v1\10-1016_j-brs-2017-01-437.pdf
576,10-1016_j-foodqual-2020-104111,230,230,Marzena Aneta Cypryańska-Nezlek,https://orcid.org/0000-0001-9234-5628,https://doi.org/10.1016/j.foodqual.2020.104111,Approach and avoidance motivation and interest in new foods: Introducing a measure of the motivation to eat new foods,2021,Food Quality and Preference,Marzena_Aneta_Cypryańska-Nezlek_1,False,8.0,True,D:\data\ranking\pdfs\v1\10-1016_j-foodqual-2020-104111.pdf
587,10-1016_j-ijpsycho-2017-04-006-,328,328,Tomasz Sebastian Oleksy,https://orcid.org/0000-0002-3499-9874,https://doi.org/10.1016/j.ijpsycho.2017.04.006.,Patterns of brain and cardiovascular activation while solving rule-discovery and rule-application numeric tasks,2017,INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY,Tomasz_Sebastian_Oleksy_14,False,10.0,True,D:\data\ranking\pdfs\v1\10-1016_j-ijpsycho-2017-04-006-.pdf
671,10-1016_j-jpeds-2017-12-082,123,123,Ewa Maria Haman,https://orcid.org/0000-0003-1615-711X,https://doi.org/10.1016/j.jpeds.2017.12.082,English language acquisition is delayed in bilingual homes,2018-03,The Journal of Pediatrics,Ewa_Maria_Haman_10,False,4.0,True,D:\data\ranking\pdfs\v1\10-1016_j-jpeds-2017-12-082.pdf
689,10-1016_j-jsxm-2017-04-404,449,449,Katarzyna Anna Grunt-Mejer,https://orcid.org/0000-0001-5679-5322,https://doi.org/10.1016/j.jsxm.2017.04.404,"Polish Sexual Education for Teenagers: The Gendered Discourse of Moral, Psychological and Health Risk",2017-05,The Journal of Sexual Medicine,Katarzyna_Anna_Grunt-Mejer_6,False,1.0,True,D:\data\ranking\pdfs\v1\10-1016_j-jsxm-2017-04-404.pdf
697,10-1016_j-mehy-2020-110435,296,296,Joanna Eulalia Dudek,https://orcid.org/0000-0002-7114-8884,https://doi.org/10.1016/j.mehy.2020.110435,Ketogenic diet as a potential intervention for lipedema,2021-01,Medical Hypotheses,Joanna_Eulalia_Dudek_2,False,7.0,True,D:\data\ranking\pdfs\v1\10-1016_j-mehy-2020-110435.pdf
833,10-1016_j-paid-2020-110544,10,10,Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.1016/j.paid.2020.110544,Higher-order factors of the Big Six – Similarities between Big Twos identified above the Big Five and the Big Six,2021-03,Personality and Individual Differences,Jan_Cieciuch_12,False,8.0,True,D:\data\ranking\pdfs\v1\10-1016_j-paid-2020-110544.pdf
943,10-1016_s2215-0366(17)30363-2,45,45,Jacek Janusz Gierus,https://orcid.org/0000-0003-2532-3327,https://doi.org/10.1016/s2215-0366(17)30363-2,Institutional discrimination against psychiatric patients in Poland,2017,The Lancet Psychiatry,Jacek_Janusz_Gierus_21,False,1.0,False,D:\data\ranking\pdfs\v1\10-1016_s2215-0366(17)30363-2.pdf
976,10-1038_543481a,380,380,Piotr Sorokowski,https://orcid.org/0000-0001-9225-9965,https://doi.org/10.1038/543481a,Predatory journals recruit fake editor,2017,Nature,Piotr_Sorokowski_28,False,3.0,False,D:\data\ranking\pdfs\v1\10-1038_543481a.pdf
1327,10-1093_ecco-jcc_jjy222-771,4,4,Małgorzata Basińska,https://orcid.org/0000-0002-6763-8012,https://doi.org/10.1093/ecco-jcc/jjy222.771,P647 A pilot study: The importance of cognitive flexibility and flexibility in coping with stress for the quality of life in inflammatory bowel disease patients during biological therapy,2019,Journal of Crohn's and Colitis,Małgorzata_Basińska_5,False,1.0,False,D:\data\ranking\pdfs\v1\10-1093_ecco-jcc_jjy222-771.pdf
1335,10-1093_schbul_sbaa030-377,2,2,Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.1093/schbul/sbaa030.377,M65. INTERPLAY OF TRAIT RESILIENCE WITH NEUROCOGNITIVE FUNCTIONING AND PERSONALITY CHARACTERISTICS IN YOUNG PEOPLE WITH PUTATIVE ‘AT RISK MENTAL STATE’,2020-05-18,Schizophrenia Bulletin,Aleksandra_Izabela_Arciszewska-Leszczuk_3,False,2.0,False,D:\data\ranking\pdfs\v1\10-1093_schbul_sbaa030-377.pdf
1338,10-1093_schbul_sbx023-078,306,306,Natasza Orlov,https://orcid.org/0000-0002-5560-2629,https://doi.org/10.1093/schbul/sbx023.078,Functional MRI Study of Frontal TDCS In Schizophrenia,2017-03-20,SCHIZOPHRENIA BULLETIN,Natasza_Orlov_14,False,2.0,False,D:\data\ranking\pdfs\v1\10-1093_schbul_sbx023-078.pdf
1346,10-1097_wnn-0000000000000142,236,236,Michał Harciarek,https://orcid.org/0000-0001-8289-8878,https://doi.org/10.1097/wnn.0000000000000142,Leftward Bias of Visual Attention in Patients with End-Stage Renal Disease Receiving Dialysis: A Neglected Phenomenon,2017,Cognitive and Behavioral Neurology,Michał_Harciarek_19,False,6.0,False,D:\data\ranking\pdfs\v1\10-1097_wnn-0000000000000142.pdf
1347,10-1097_wnn-0000000000000221,370,370,Aleksandra Mańkowska,https://orcid.org/0000-0002-5422-1541,https://doi.org/10.1097/wnn.0000000000000221,Upper Vertical Spatial Neglect with A Right Temporal Lobe Stroke,2020,Cognitive and Behavioral Neurology,Aleksandra_Mańkowska_3,False,4.0,True,D:\data\ranking\pdfs\v1\10-1097_wnn-0000000000000221.pdf
1348,10-1097_wnn-0000000000000232,222,222,Michał Harciarek,https://orcid.org/0000-0001-8289-8878,https://doi.org/10.1097/wnn.0000000000000232,Feeling and Looking Down: Impact of Depressive Symptoms on the Allocation of Vertical Attention,2020,Cognitive and Behavioral Neurology,Michał_Harciarek_5,False,8.0,False,D:\data\ranking\pdfs\v1\10-1097_wnn-0000000000000232.pdf
1377,10-1111_1756-185x-12738,11,11,Katarzyna Adamczyk,https://orcid.org/0000-0002-7612-8380,https://doi.org/10.1111/1756-185x.12738,The Pediatric Outcomes Data Collection Instrument for a Polish sample with juvenile idiopathic arthritis: psychometric properties of proxy version,2017,International Journal of Rheumatic Diseases,Katarzyna_Adamczyk_12,False,9.0,False,D:\data\ranking\pdfs\v1\10-1111_1756-185x-12738.pdf
1381,10-1111_add-15155,121,121,Katarzyna Kucharska,https://orcid.org/0000-0002-6130-0520,https://doi.org/10.1111/add.15155,Prevalence of alcohol use disorder among individuals who binge eat: a systematic review and meta‐analysis,2021-01,Addiction,Katarzyna_Kucharska_7,False,35.0,True,D:\data\ranking\pdfs\v1\10-1111_add-15155.pdf
1382,10-1111_add-15272,80,80,Mateusz Kazimierz Gola,https://orcid.org/0000-0002-9691-1102,https://doi.org/10.1111/add.15272,"Frequency of use, moral incongruence and religiosity and their relationships with self‐perceived addiction to pornography, internet use, social networking and online gaming",2021-04-06,Addiction,Mateusz_Kazimierz_Gola_1,False,17.0,False,D:\data\ranking\pdfs\v1\10-1111_add-15272.pdf
1515,10-1159_000464377,449,449,Piotr Krzysztof Walecki,https://orcid.org/0000-0002-5544-2514,https://doi.org/10.1159/000464377,Cluster analysis applied to classify saccadic parameters in Alzheimer's Disease and Parkinson Disease.,2017,Neurodegener. Dis. (Print),Piotr_Krzysztof_Walecki_7,False,2.0,False,D:\data\ranking\pdfs\v1\10-1159_000464377.pdf
1695,10-1186_s13104-019-4810-2,213,213,Monika Wiłkość-Dębczyńska,https://orcid.org/0000-0002-0094-7793,https://doi.org/10.1186/s13104-019-4810-2,Efects of virtual reality-based cognitive training in older adults living without and with mild dementia: a pretest-posttest design pilot study,2019,BMC Research Notes,Monika_Wiłkość-Dębczyńska_8,False,8.0,True,D:\data\ranking\pdfs\v1\10-1186_s13104-019-4810-2.pdf
1696,10-1186_s13104-020-05432-4,796,796,Marta Anna Roczniewska,https://orcid.org/0000-0003-0815-1455 ,https://doi.org/10.1186/s13104-020-05432-4,Social purpose in an organization from the perspective of an employee: a self-determination outlook on the meaning of work,2021-12,BMC Research Notes,Marta_Anna_Roczniewska_2,False,6.0,True,D:\data\ranking\pdfs\v1\10-1186_s13104-020-05432-4.pdf
1703,10-1192_j-eurpsy-2020-28,120,120,Bartosz Helfer,https://orcid.org/0000-0001-9863-2871,https://doi.org/10.1192/j.eurpsy.2020.28,The key role of daytime sleepiness in cognitive functioning of adults with attention deficit hyperactivity disorder,2020-03-05,European Psychiatry,Bartosz_Helfer_6,False,22.0,False,D:\data\ranking\pdfs\v1\10-1192_j-eurpsy-2020-28.pdf
1705,10-1192_j-eurpsy-2020-68,119,119,Bartosz Helfer,https://orcid.org/0000-0001-9863-2871,https://doi.org/10.1192/j.eurpsy.2020.68,Lateralization of attention in adults with ADHD: Evidence of pseudoneglect,2020-06-29,European Psychiatry,Bartosz_Helfer_5,False,22.0,False,D:\data\ranking\pdfs\v1\10-1192_j-eurpsy-2020-68.pdf
1723,10-1371_journal-pone-0205566,830,830,Katarzyna Julia Samson,https://orcid.org/0000-0003-0248-8233,https://doi.org/10.1371/journal.pone.0205566,Trust as a mechanism of system justification,2018-10-12,PLOS ONE,Katarzyna_Julia_Samson_3,False,22.0,False,D:\data\ranking\pdfs\v1\10-1371_journal-pone-0205566.pdf
1724,10-1371_journal-pone-0205887,845,845,Ralf Schwarzer,https://orcid.org/0000-0002-0069-3826,https://doi.org/10.1371/journal.pone.0205887,Couples' daily self-regulation: The Health Action Process Approach at the dyadic level,2018-10-29,PLOS ONE,Ralf_Schwarzer_13,False,16.0,False,D:\data\ranking\pdfs\v1\10-1371_journal-pone-0205887.pdf
1725,10-1371_journal-pone-0205991,362,362,Marta Łockiewicz,https://orcid.org/0000-0002-7461-8503,https://doi.org/10.1371/journal.pone.0205991,How different are parents and educators? A comparative study of interactive differences between parents and educators in a collaborative adult-child activity,2018-11-14,PLOS ONE,Marta_Łockiewicz_13,False,15.0,False,D:\data\ranking\pdfs\v1\10-1371_journal-pone-0205991.pdf
1726,10-1371_journal-pone-0209620,166,166,Katarzyna Byrka,https://orcid.org/0000-0003-4220-4063,https://doi.org/10.1371/journal.pone.0209620,Conformity in numbers—Does criticality in social responses exist?,2018,PLoS ONE,Katarzyna_Byrka_16,False,18.0,False,D:\data\ranking\pdfs\v1\10-1371_journal-pone-0209620.pdf
1727,10-1371_journal-pone-0212730,39,39,Krystian Barzykowski,https://orcid.org/0000-0003-4016-3966,https://doi.org/10.1371/journal.pone.0212730,The Cross-Cultural Competence Inventory: Validity and psychometric properties of the Polish adaptation,2019-03-07,PLOS ONE,Krystian_Barzykowski_17,False,21.0,False,D:\data\ranking\pdfs\v1\10-1371_journal-pone-0212730.pdf
1728,10-1371_journal-pone-0213026,38,38,Krystian Barzykowski,https://orcid.org/0000-0003-4016-3966,https://doi.org/10.1371/journal.pone.0213026,Testing the ego-depletion effect in optimized conditions,2019-03-07,PLOS ONE,Krystian_Barzykowski_16,False,15.0,False,D:\data\ranking\pdfs\v1\10-1371_journal-pone-0213026.pdf
1729,10-1371_journal-pone-0213183,65,65,Olga Aleksandra Białobrzeska,https://orcid.org/0000-0002-0387-3187,https://doi.org/10.1371/journal.pone.0213183,Manipulated taking the agent versus the recipient perspective seems not to affect the relationship between agency-communion and self-esteem: A small-scale meta-analysis,2019-02-28,PLOS ONE,Olga_Aleksandra_Białobrzeska_3,False,23.0,False,D:\data\ranking\pdfs\v1\10-1371_journal-pone-0213183.pdf
1730,10-1371_journal-pone-0214396,503,506,Katarzyna Sekścińska,https://orcid.org/0000-0002-6641-6506,https://doi.org/10.1371/journal.pone.0214396,You don’t have to be rich to save money: On the relationship between objective versus subjective financial situation and having savings,2019,PLoS One,Katarzyna_Sekścińska_4,False,15.0,False,D:\data\ranking\pdfs\v1\10-1371_journal-pone-0214396.pdf
1731,10-1371_journal-pone-0215348,117,117,Klaudia Ewa Modlińska,https://orcid.org/0000-0002-2161-9019,https://doi.org/10.1371/journal.pone.0215348,Volumes of brain structures in captive wild-type and laboratory rats: 7T magnetic resonance in vivo automatic atlas-based study,2019-04-11,PLOS ONE,Klaudia_Ewa_Modlińska_10,False,18.0,False,D:\data\ranking\pdfs\v1\10-1371_journal-pone-0215348.pdf
1732,10-1371_journal-pone-0216919,184,184,Norbert Ernest Maliszewski,https://orcid.org/0000-0001-6901-9509,https://doi.org/10.1371/journal.pone.0216919,Influence of sexual appeal in roadside advertising on drivers’ attention and driving behavior,2019-05-16,PLOS ONE,Norbert_Ernest_Maliszewski_1,False,17.0,False,D:\data\ranking\pdfs\v1\10-1371_journal-pone-0216919.pdf
1733,10-1371_journal-pone-0219760,105,105,Tomasz Frąckowiak,https://orcid.org/0000-0002-0244-2879,https://doi.org/10.1371/journal.pone.0219760,Community size and perception of older adults in the Cook Islands,2019-07-17,PLOS ONE,Tomasz_Frąckowiak_10,False,6.0,False,D:\data\ranking\pdfs\v1\10-1371_journal-pone-0219760.pdf
1734,10-1371_journal-pone-0220606,134,134,Paweł Kleka,https://orcid.org/0000-0003-0841-0015,https://doi.org/10.1371/journal.pone.0220606,The accuracy of lung auscultation in the practice of physicians and medical students,2019-08,PLOS ONE,Paweł_Kleka_19,False,16.0,False,D:\data\ranking\pdfs\v1\10-1371_journal-pone-0220606.pdf
1735,10-1371_journal-pone-0220611,119,119,Ewa Maria Haman,https://orcid.org/0000-0003-1615-711X,https://doi.org/10.1371/journal.pone.0220611,"Age of acquisition of 299 words in seven languages: American English, Czech, Gaelic, Lebanese Arabic, Malay, Persian and Western Armenian",2019-08-08,PLOS ONE,Ewa_Maria_Haman_6,False,19.0,False,D:\data\ranking\pdfs\v1\10-1371_journal-pone-0220611.pdf
1736,10-1371_journal-pone-0221896,12,12,Anna Teresa Bokszczanin,https://orcid.org/0000-0002-0499-8133,https://doi.org/10.1371/journal.pone.0221896,"European public perceptions of homelessness: A knowledge, attitudes and practices survey",2019,PLoS ONE,Anna_Teresa_Bokszczanin_8,False,16.0,False,D:\data\ranking\pdfs\v1\10-1371_journal-pone-0221896.pdf
1737,10-1371_journal-pone-0222492,234,234,Marzena Aneta Cypryańska-Nezlek,https://orcid.org/0000-0001-9234-5628,https://doi.org/10.1371/journal.pone.0222492,An international survey of perceptions of the 2014 FIFA World Cup: National levels of corruption as a context for perceptions of institutional corruption,2019,PLoS ONE,Marzena_Aneta_Cypryańska-Nezlek_5,False,19.0,False,D:\data\ranking\pdfs\v1\10-1371_journal-pone-0222492.pdf
1738,10-1371_journal-pone-0224503,1053,1053,Karolina Zarychta-Zajączkowska,https://orcid.org/0000-0003-2072-0841,https://doi.org/10.1371/journal.pone.0224503,Links between meaning in life and physical quality of life after rehabilitation: Mediating effects of positive experiences with physical exercises and mobility,2019-10-31,PLOS ONE,Karolina_Zarychta-Zajączkowska_8,False,12.0,False,D:\data\ranking\pdfs\v1\10-1371_journal-pone-0224503.pdf
1739,10-1371_journal-pone-0225182,41,41,Barbara Urszula Gawda,https://orcid.org/0000-0002-6783-1779,https://doi.org/10.1371/journal.pone.0225182,The computational analyses of handwriting in individuals with psychopathic personality disorder,2019-12-23,PLOS ONE,Barbara_Urszula_Gawda_3,False,14.0,False,D:\data\ranking\pdfs\v1\10-1371_journal-pone-0225182.pdf
1740,10-1371_journal-pone-0225240,36,36,Krystian Barzykowski,https://orcid.org/0000-0003-4016-3966,https://doi.org/10.1371/journal.pone.0225240,The Polish version of the Cultural Intelligence Scale: Assessment of its reliability and validity among healthcare professionals and medical faculty students,2019-11-25,PLOS ONE,Krystian_Barzykowski_14,False,22.0,False,D:\data\ranking\pdfs\v1\10-1371_journal-pone-0225240.pdf
1741,10-1371_journal-pone-0226213,68,68,Andrzej Cudo,https://orcid.org/0000-0001-7424-8576,https://doi.org/10.1371/journal.pone.0226213,"Personal distress as a mediator between self-esteem, self-efficacy, loneliness and problematic video gaming in female and male emerging adult gamers",2019-12-10,PLOS ONE,Andrzej_Cudo_19,False,18.0,False,D:\data\ranking\pdfs\v1\10-1371_journal-pone-0226213.pdf
1742,10-1371_journal-pone-0228538,14,14,Natalia Elżbieta Banasik-Jemielniak,https://orcid.org/0000-0003-4568-3231,https://doi.org/10.1371/journal.pone.0228538,“Wonderful! We’ve just missed the bus.” – Parental use of irony and children’s irony comprehension,21/02/2020,PLOS ONE,Natalia_Elżbieta_Banasik-Jemielniak_2,False,12.0,False,D:\data\ranking\pdfs\v1\10-1371_journal-pone-0228538.pdf
1743,10-1371_journal-pone-0229625,191,191,Irena Pilch,https://orcid.org/0000-0002-4471-1993,https://doi.org/10.1371/journal.pone.0229625,As cold as a fish? Relationships between the Dark Triad personality traits and affective experience during the day: A day reconstruction study,2020-02-25,PLOS ONE,Irena_Pilch_4,False,22.0,False,D:\data\ranking\pdfs\v1\10-1371_journal-pone-0229625.pdf
1744,10-1371_journal-pone-0229985,60,60,Izabela Maria Chojnicka,https://orcid.org/0000-0001-8723-6873,https://doi.org/10.1371/journal.pone.0229985,Social language in autism spectrum disorder: A computational analysis of sentiment and linguistic abstraction.,2020-03,PloS one,Izabela_Maria_Chojnicka_2,False,16.0,False,D:\data\ranking\pdfs\v1\10-1371_journal-pone-0229985.pdf
1745,10-1371_journal-pone-0230637,254,254,Anna Maria Oleszkiewicz,https://orcid.org/0000-0003-2217-1858,https://doi.org/10.1371/journal.pone.0230637,Sensory impairment reduces money sharing in the Dictator Game regardless of the recipient’s sensory status,2020-03-23,PLOS ONE,Anna_Maria_Oleszkiewicz_23,False,11.0,False,D:\data\ranking\pdfs\v1\10-1371_journal-pone-0230637.pdf
1746,10-1371_journal-pone-0231313,625,625,Konrad Piotr Maj,http://orcid.org/0000-0002-9605-4251,https://doi.org/10.1371/journal.pone.0231313,Is bad news on TV tickers good news? The effects of voiceover and visual elements in video on viewers’ assessment,2020-04-15,PLOS ONE,Konrad_Piotr_Maj_1,False,18.0,False,D:\data\ranking\pdfs\v1\10-1371_journal-pone-0231313.pdf
1747,10-1371_journal-pone-0232725,331,331,Włodzimierz Oniszczenko,https://orcid.org/0000-0003-4442-9186,https://doi.org/10.1371/journal.pone.0232725,Affective temperaments and meteoropathy among women: A cross-sectional study,2020,PLoS One,Włodzimierz_Oniszczenko_3,False,10.0,False,D:\data\ranking\pdfs\v1\10-1371_journal-pone-0232725.pdf
1748,10-1371_journal-pone-0233036,321,321,Tomasz Sebastian Oleksy,https://orcid.org/0000-0002-3499-9874,https://doi.org/10.1371/journal.pone.0233036,Do negative emotions in social advertising really work? Confrontation of classic vs. EEG reaction toward advertising that promotes safe driving,2020-05-15,PLOS ONE,Tomasz_Sebastian_Oleksy_7,False,20.0,False,D:\data\ranking\pdfs\v1\10-1371_journal-pone-0233036.pdf
1749,10-1371_journal-pone-0233337,54,54,Wojciech Zygmunt Białaszek,https://orcid.org/0000-0002-4672-4376,https://doi.org/10.1371/journal.pone.0233337,Comparison of multiplicative and additive hyperbolic and hyperboloid discounting models in delayed lotteries involving gains and losses,2020-05-22,PLOS ONE,Wojciech_Zygmunt_Białaszek_6,False,18.0,False,D:\data\ranking\pdfs\v1\10-1371_journal-pone-0233337.pdf
1750,10-1371_journal-pone-0236168,131,131,Piotr Janusz Mamcarz,https://orcid.org/0000-0001-6307-6326,https://doi.org/10.1371/journal.pone.0236168,Perceived stress and well-being of Polish migrants in the UK after Brexit vote,2020-07-23,PLOS ONE,Piotr_Janusz_Mamcarz_5,False,15.0,False,D:\data\ranking\pdfs\v1\10-1371_journal-pone-0236168.pdf
