,Unnamed: 0.1,Unnamed: 0,name,orcid,doi,title,date,journal,filename,Unnamed: 8,Article_ID
815,28,28,Joanna Konarska,https://orcid.org/0000-0003-2034-8875,empty,Rzeczywistość prawna i społeczna w kontekście realizacji paradygmatu normalizacji życia osób z niepełnosprawnością,2020,Państwo i Społeczeństwo,Joanna_Konarska_3,,362015682415653881
1457,634,634,Magdalena Maria Marszał-Wiśniewska,https://orcid.org/0000-0002-1423-3660,empty,What happens during the process of goal-oriented self-regulation? Systematic measure of the objective and self-reported effects of the self-regulation enhancing intervention,2017,Ceskoslovenska Psychologie,Magdalena_Maria_Marszał-Wiśniewska_6,,1588132016912538194
1597,774,774,Agnieszka Ewa Popiel,https://orcid.org/0000-0001-9990-4971 ,empty,"Komentarz do artykułu ""Zespół stresu pourazowego"". Wskazówki dla lekarzy",2018,Lekarz Rodzinny,Agnieszka_Ewa_Popiel_5,,7478282187131831187
2429,200,200,Dorota Elżbieta Godlewska-Werner,https://orcid.org/0000-0002-0254-8163,empty,Czy to jest już wypalenie zawodowe?,2019,Psychologia w Praktyce,Dorota_Elżbieta_Godlewska-Werner_8,,-3652355830388968500
2431,202,202,Dorota Elżbieta Godlewska-Werner,https://orcid.org/0000-0002-0254-8163,empty,Organizacyjne metody przeciwdziałania wypaleniu zawodowemu,2019,Psychologia w Praktyce,Dorota_Elżbieta_Godlewska-Werner_10,,6243521950696174895
2433,204,204,Dorota Elżbieta Godlewska-Werner,https://orcid.org/0000-0002-0254-8163,empty,Przywiązanie do organizacji i motywacja do pracy a poziom materializmu pracowników - pośrednicząca rola satysfakcji z pracy,2018,Zarządzanie Zasobami Ludzkimi,Dorota_Elżbieta_Godlewska-Werner_12,,-4894037371871975023
2436,207,207,Dorota Elżbieta Godlewska-Werner,https://orcid.org/0000-0002-0254-8163,empty,Zmiana pracy skutkiem doświadczania mobbingu,2017,Miscellanea Anthropologica et Sociologica,Dorota_Elżbieta_Godlewska-Werner_15,,3582095772289444814
2633,404,404,Beata Pastwa - Wojciechowska,https://orcid.org/0000-0002-0561-6125,empty,"Między empatią a psychopatią, czyli moralni nieskuteczni czy skuteczni niemoralni",2018,Nauka,Beata_Pastwa_-_Wojciechowska_8,,-5381306201180538442
2635,406,406,Beata Pastwa - Wojciechowska,https://orcid.org/0000-0002-0561-6125,empty,Wyobrażeniowy styl myślenia a mechanizmy kontroli emocjonalnej u funkcjonariuszy Samodzielnego Pododdziału Antyterrorystycznego Policji i Biura Ochrony Rządu,2018,Przegląd Naukowo -Metodyczny. Edukacja dla Bezpieczeństwa,Beata_Pastwa_-_Wojciechowska_10,,-2153122005862929975
2637,408,408,Beata Pastwa - Wojciechowska,https://orcid.org/0000-0002-0561-6125,empty,Czy policjantki potrzebują wsparcia przełożonych?,2017,Przegląd Policyjny,Beata_Pastwa_-_Wojciechowska_12,,-7209265425794001640
2639,410,410,Beata Pastwa - Wojciechowska,https://orcid.org/0000-0002-0561-6125,empty,Facebook jako źródło wiedzy i niewiedzy na temat marihuany,2017,Przegląd Naukowo -Metodyczny. Edukacja dla Bezpieczeństwa,Beata_Pastwa_-_Wojciechowska_14,,1580323037948322726
2641,412,412,Beata Pastwa - Wojciechowska,https://orcid.org/0000-0002-0561-6125,empty,"Pesymizm czy optymizm terapeutyczny, czyli o efekcie zmiany w terapii uzależnienia od alkoholu w warunkach izolacji więziennej u osób z psychopatycznymi cechami osobowości",2017,Miscellanea Anthropologica et Sociologica,Beata_Pastwa_-_Wojciechowska_16,,4356400636990294064
3478,109,109,Zdzisław Kobos,https://orcid.org/0000-0002-8349-5349,empty,Psychological aspects of diving in selected theoretical and research perspectives,2018,Polish Hyperbaric Research,Zdzisław_Kobos_5,,-5496228491955403889
4163,66,66,Tomasz Rafał Knopik,https://orcid.org/0000-0001-5253-7545,empty,Diagnoza kompetencji emocjonalno-społecznych uczniów zdolnych w środkowym wieku szkolnym z wykorzystaniem baterii TROS-KA - doniesienie z badań,2017,Ruch pedagogiczny,Tomasz_Rafał_Knopik_17,,584794297484376114
4563,55,55,Lada Kaliská,https://orcid.org/0000-0001-9700-5980,empty,Editorial,2017,Školský psychológ,Lada_Kaliská_13,,-6867474542551773272
4783,24,24,Tomasz Jerzy Baran,https://orcid.org/0000-0003-2922-7551,empty,Fear of missing out a korzystanie z urządzeń umożliwiających dostęp do mediów społecznościowych na podstawie badań polskich internautów,2018,Forum Socjologiczne,Tomasz_Jerzy_Baran_11,,6550134742662055687
5252,493,496,Marcin Tomasz Rzeszutek,https://orcid.org/0000-0002-4230-3806,empty,Kłopoty przy pomocy,2017,ACADEMIA: MAGAZYN POLSKIEJ AKADEMII NAUK,Marcin_Tomasz_Rzeszutek_34,,-8749002029658515907
5325,566,569,Anna Dorota Szuster-Kowalewicz,https://orcid.org/0000-0001-5362-0076,empty,Jak skutecznie ograniczyć cyberprzemoc rówieśniczą? – o efektywności metod aktywizujących kompetencje społeczne ze szczególnym uwzględnieniem empatii.,2018,"Dziecko krzywdzone. Teoria, badania, praktyka.",Anna_Dorota_Szuster-Kowalewicz_7,,-5406865751348646573
5873,63,63,Karolina Kossakowska,https://orcid.org/0000-0003-3618-1918,empty,Ocena poziomu wydolności fizycznej u licealistów klas I i II,2018,Fizjoterapia Polska,Karolina_Kossakowska_16,,4871228896729648416
6067,257,257,Marta Renata Znajmiecka,https://orcid.org/0000-0002-4710-7871,empty,Styl przywiązania a tolerancja niejednoznaczności w sytuacji podejmowania decyzji zawodowych przez młodych dorosłych. Mediacyjny efekt poczucia bezpieczeństwa,2020,Polskie Forum Psychologiczne,Marta_Renata_Znajmiecka_4,,-7173288177026354201
6117,38,38,Michał Henryk Brol,https://orcid.org/0000-0002-5486-4571,empty,System mediacji jako przykład współpracy na rzecz zapobiegania i rozwiązywania konfliktów wewnątrzorganizacyjnych,2017,Humanum,Michał_Henryk_Brol_3,,-701149925706589018
