word,core
Organizacja,Organiz
Zrzeszenie,Zrzesz
Towarzystwo,Towarzystw
Klub,Klub
Grupa,Grup
Związek,Związ
Fundusz,Fundusz
Stowarzyszenie,Stowarzyszen
Instytucja dobroczynna,Instytucj* dobroczyn
Zakład dobroczynny,Zakład* dobroczyn
NGO (Non-Governmental Organization),NGO
Ruch harcerski,Ruch* harcersk
Drużyna harcerska,Drużyna* harcersk
Skauting,Skaut
Grupa religijna,Grup* religijn
Społeczność religijna,Społecznoś* religijn
Wspólnota religijna,Wspólnot* religijn
Grupy naukowe,Grup* naukow
Koła naukowe,Koł* naukow
Korporacje studenckie,Korporacj* studenck
Formacje paramilitarne,Formacj* paramilitarn
Milicja obywatelska,Milicj* obywatelsk
Oddziały paramilitarne,Oddział* paramilitarn
Partie polityczne,Parti* polityczn
Młodzieżowe skrzydła partii,Młodzieżow* skrzydł* part
Sektor społeczeństwa obywatelskiego,Sektor społeczeństw* obywatelskieg
Niekomercyjny,Niekomercyjn
Niezarobkowy,Niezarobkow
Działający na rzecz dobra publicznego,Działając* na rzecz* dobr* publiczneg
Syndykat,Syndyka
Unia zawodowa,Unia zawodow
Kampanie zbierania funduszy,Kampani* zbierani* fundusz
Akcje charytatywne,Akcj* charytatywn
Pozyskiwanie środków,Pozyskiwan* środków
Aktywność charytatywna,Aktywnoś* charytatywn
Działania fundraisingowe,Działan* fundraisingow
Kampanie finansowe,Kampani* finansow
Nagły happening,Nagł* happening
Improwizowana akcja,Improwizowan* akcj
Krótka widowiskowa akcja,Krótk* widowiskowa akcj
Spontaniczne wydarzenie,Spontaniczn* wydarzeni
Mobilizacja tłumu,Mobilizacj* tłum
Inicjatywy nieoficjalne,Inicjatyw* nieoficjaln