fullname,orcid,assigned
Rafał Waldemar Albiński,https://orcid.org/0000-0003-4808-2108,Kacper
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-8476-7561,Kacper
Marlena Banasik,https://orcid.org/0000-0002-4589-1375,Kacper
Róża Alicja Banaśkiewicz-Bazińska,,Kacper
Anna Aleksandra Banik,http://orcid.org/0000-0002-6811-3947,Kacper
Maria Romualda Baran,https://orcid.org/0000-0002-3118-1997,Kacper
Wiesław Jerzy Baryła,http://orcid.org/0000-0001-9929-1992,Kacper
Dorota Balbina Bednarek,https://orcid.org/0000-0003-3903-5529,Kacper
Hanna Krystyna Bednarek,https://orcid.org/0000-0001-6470-5120,Kacper
Sylwia Bedyńska,https://orcid.org/0000-0001-8255-1946,Kacper
Wojciech Zygmunt Białaszek,https://orcid.org/0000-0002-9704-5453,Kacper
Olga Aleksandra Białobrzeska,https://orcid.org/0000-0002-0387-3187,Kacper
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,Kacper
Monika Joanna Boberska,https://orcid.org/0000-0002-2443-532X,Kacper
Konrad Maksymilian Bocian,https://orcid.org/0000-0002-8652-0167,Kacper
Agnieszka Maria Bojanowska,https://orcid.org/0000-0002-1624-5518,Kacper
Edyta Ewa Bonk,https://orcid.org/0000-0001-5842-5157,Kacper
Paweł Boski,https://orcid.org/0000-0003-0984-5686,Kacper
Anna Braniecka,http://orcid.org/0000-0001-8328-1386,Kacper
Elwira Brygoła,https://orcid.org/0000-0002-6326-7760,Kacper
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,Kacper
Jacek Marcin Buczny,https://orcid.org/0000-0002-4932-196X,Kacper
Ewa Butowska,https://orcid.org/0000-0003-4377-6004,Kacper
Katarzyna Byrka,https://orcid.org/0000-0003-4220-4063,Kacper
Katarzyna Cantarero,http://orcid.org/0000-0002-1876-3650,Kacper
Agnieszka Chrzczonowicz-Stępień,https://orcid.org/0000-0001-5236-6387,Kacper
Agata Chudzicka-Czupała,https://orcid.org/0000-0002-6517-5018,Kacper
Roman Sławomir Cieślak,https://orcid.org/0000-0002-2916-7686,Kacper
Aleksandra Katarzyna Cisłak-Wójcik,https://orcid.org/0000-0002-9880-6947,Kacper
Maria Cyniak-Cieciura,https://orcid.org/0000-0002-6293-8729,Kacper
Marzena Aneta Cypryańska-Nezlek,http://orcid.org/0000-0001-9234-5628,Kacper
Agnieszka Czerw,https://orcid.org/0000-0002-0074-3264,Kacper
Agata Dębowska,https://orcid.org/0000-0002-8072-3975,Kacper
Dariusz Antoni Doliński,https://orcid.org/0000-0001-5457-6396,Kacper
Zofia Dołęga,https://orcid.org/0000-0002-2402-3819,Kacper
Aneta Marta Dowgiert,https://orcid.org/0000-0001-8466-6851,Kacper
Szymon Emilia Draheim,,Kacper
Krystyna Eleonora Drat-Ruszczak,,Kacper
Marek Zbigniew Drogosz,https://orcid.org/0000-0003-4963-3995,Kacper
Joanna Eulalia Dudek,https://orcid.org/0000-0002-5219-6151,Kacper
Karolina Dukała,https://orcid.org/0000-0001-9564-3102,Kacper
Anna Ewa Duszyk-Bogorodzka,,Kacper
Maciej Andrzej Dymkowski,https://orcid.org/0000-0002-2101-9451,Kacper
Irena Dzwonkowska,https://orcid.org/0000-0002-9177-6044,Kacper
Jolanta Enko,https://orcid.org/0000-0002-1982-2798,Kacper
Andrzej Falkowski,http://orcid.org/0000-0002-7255-4542,Kacper
Aleksandra Katarzyna Fila-Jankowska,,Kacper
Magdalena Maria Formanowicz,https://orcid.org/0000-0001-5859-7100,Kacper
Natalia Frankowska,https://orcid.org/0000-0002-1451-0998,Kacper
Anna Gabińska,https://orcid.org/0000-0003-1560-1418,Kacper
Małgorzata Gamian-Wilk,https://orcid.org/0000-0001-5025-076X,Ignacy
Magdalena Agnieszka Gąsiorowska,http://orcid.org/0000-0003-1528-6876,Ignacy
Agata Dorota Gąsiorowska,https://orcid.org/0000-0001-5083-0385,Ignacy
Józef Gierowski,https://orcid.org/0000-0002-7104-134X,Ignacy
Małgorzata Anna Godlewska,https://orcid.org/0000-0001-7413-0674,Ignacy
Agnieszka Monika Golec,https://orcid.org/0000-0002-7631-9486,Ignacy
Anna Maria Grabowska,https://orcid.org/0000-0002-5753-7525,Ignacy
Damian Wojciech Grabowski,https://orcid.org/0000-0002-4938-918X,Ignacy
Alicja Magdalena Grochowska,https://orcid.org/0000-0002-9015-4665,Ignacy
Katarzyna Growiec,https://kups.ub.uni-koeln.de/view/orcid/0000-0003-3568-1072.html,Ignacy
Katarzyna Anna Grunt-Mejer,https://orcid.org/0000-0001-5679-5322,Ignacy
Ewa Melania Gruszczyńska,https://orcid.org/0000-0002-3168-3460,Ignacy
Eufrozyna Gruszecka,,Ignacy
Tomasz Adam Grzyb,https://orcid.org/0000-0002-2947-6366,Ignacy
Anna Maria Hebenstreit-Maruszewska,,Ignacy
Daniela Maria Hekiert,https://orcid.org/0000-0002-6108-993X,Ignacy
Anna Maria Hełka,https://orcid.org/0000-0002-3242-2553,Ignacy
Kamil Maksymilian Henne,https://orcid.org/0000-0003-4892-6323,Ignacy
Irena Iskra-Golec,https://orcid.org/0000-0002-7236-4394,Ignacy
Magdalena Zyta Jabłońska,https://orcid.org/0000-0002-3807-9266,Ignacy
Marta Jackowska,https://orcid.org/0000-0002-5991-5868,Ignacy
Kamila Anna Jankowiak-Siuda,https://orcid.org/0000-0002-0210-2487,Ignacy
Maciej Andrzej Januszek,https://orcid.org/0000-0002-1761-7328,Ignacy
Ewa Jarczewska-Gerc,https://orcid.org/0000-0003-0772-0783,Ignacy
Dorota Juszczyk,https://orcid.org/0000-0003-2187-8085,Ignacy
Joanna Kabzińska,https://orcid.org/0000-0002-2135-8699,Ignacy
Radosław Patrycjusz Kaczan,https://orcid.org/0000-0002-2307-3216,Ignacy
Romana Stefania Kadzikowska-Wrzosek,https://orcid.org/0000-0003-0658-9656,Ignacy
Dorota Eugenia Kalka,https://orcid.org/0000-0002-7422-159X,Ignacy
Olga Katarzyna Kamińska,https://orcid.org/0000-0001-8865-7442,Ignacy
Anna Maria Kamza,https://orcid.org/0000-0002-0403-8079,Ignacy
Bartosz Paweł Karcz,https://orcid.org/0000-0003-4295-3005,Ignacy
Aneta Kiwnik-Dahm,,Ignacy
Małgorzata Klimka-Kołysko,,Ignacy
Aleksandra Anna Kołodziej,https://orcid.org/0000-0003-2241-6309,Ignacy
Monika Kornacka,https://orcid.org/0000-0003-2737-9236,Ignacy
Julita Agnieszka Koszur,,Ignacy
Maciej Kościelniak,https://orcid.org/0000-0003-3452-864X,Ignacy
Natalia Kowalczyk-Grębska,https://orcid.org/0000-0002-1640-0565,Ignacy
Beata Kozak,https://orcid.org/0000-0003-1512-3655,Ignacy
Agata Kozłowska,https://orcid.org/0000-0002-4872-3852,Ignacy
Izabela Krejtz,https://orcid.org/0000-0002-9827-8371,Ignacy
Krzysztof Krejtz,https://orcid.org/0000-0002-2198-6556,Ignacy
Aleksandra Karolina Kroemeke,https://orcid.org/0000-0001-8707-742X,Ignacy
Magdalena Ewa Król,https://orcid.org/0000-0003-0392-0921,Ignacy
Anna Kubiak,https://orcid.org/0000-0003-4905-9321,Ignacy
Katarzyna Anna Kuć,https://orcid.org/0000-0001-5465-2985,Ignacy
Jarosław Tadeusz Kulbat,https://orcid.org/0000-0003-0480-0729,Ignacy
Wojciech Marek Kulesza,https://orcid.org/0000-0001-5457-6396,Ignacy
Katarzyna Kulwicka,https://orcid.org/0000-0002-4731-1901,Ignacy
Jakub Michał Kuś,https://orcid.org/0000-0002-9639-3616,Paweł
Joanna Maria Kwaśniewska,https://orcid.org/0000-0002-5983-8997,Paweł
Zuzanna Kwissa-Gajewska,,Paweł
Łukasz Grzegorz Lach,https://orcid.org/0000-0001-8599-1162,Paweł
Bogdan Bronisław Lach,https://orcid.org/0000-0002-2312-1513,Paweł
Magdalena Ewa Leśnierowska,https://orcid.org/0000-0002-9279-2572,Paweł
Maria Lis-Turlejska,,Paweł
Natalia Róża Liszewska,https://orcid.org/0000-0003-3798-8692,Paweł
Karolina Magdalena Łukasik,https://orcid.org/0000-0002-0934-5684,Paweł
Aleksandra Łuszczyńska,https://orcid.org/0000-0002-4704-9544,Paweł
Robert Jacek Mackiewicz,https://orcid.org/0000-0002-2990-2337,Paweł
MIKOŁAJ MAGNUSKI,https://orcid.org/0000-0002-1640-0565,Paweł
Konrad Piotr Maj,http://orcid.org/0000-0002-9605-4251,Paweł
Magdalena Maria Marszał-Wiśniewska,https://orcid.org/0000-0002-1423-3660,Paweł
Tomasz Franciszek Maruszewski,https://orcid.org/0000-0003-2341-3927,Paweł
Karolina Mazurowska,https://orcid.org/0000-0003-0914-1144,Paweł
Jarosław Maciej Michałowski,https://orcid.org/0000-0003-3891-5209,Paweł
Paweł Mordasiewicz,,Paweł
Agnieszka Dorota Mościcka-Teske,http://orcid.org/0000-0003-3265-8635,Paweł
Błażej Stanisław Mroziński,https://orcid.org/0000-0002-5423-2291,Paweł
John Nezlek,https://orcid.org/0000-0003-4963-3637,Paweł
Jakub Michał Niewiarowski,,Paweł
Czesław Nosal,http://orcid.org/0000-0002-1693-2692,Paweł
Magdalena Nowicka,https://orcid.org/0000-0002-4535-4246,Paweł
Michał Ryszard Olszanowski,https://orcid.org/0000-0003-1771-2760,Paweł
Justyna Olszewska,http://orcid.org/0000-0002-7255-4542,Paweł
Anna Orylska,https://orcid.org/0000-0002-3853-1806,Paweł
Jarosław Orzechowski,https://orcid.org/0000-0002-6244-6572,Paweł
Paweł Maria Ostaszewski,https://orcid.org/0000-0001-8067-8978,Paweł
Michał Parzuchowski,https://orcid.org/0000-0002-8960-0277,Paweł
Monika Teresa Pawłowska,https://orcid.org/0000-0002-5914-1591,Paweł
Izabela Dorota Pawłowska,https://orcid.org/0000-0002-0020-6477,Paweł
Kinga Maria Piber,https://orcid.org/0000-0001-8255-1946,Paweł
Igor Jakub Pietkiewicz,https://yorkspace.library.yorku.ca/xmlui/discover?filtertype_0=subject&filtertype_1=orcidid&filter_relational_operator_1=equals&filter_relational_operator_0=equals&filter_1=0000-0001-6913-0186&filter_0=South+Asian&filtertype=author&filter_relational_operator=authority&filter=0512532cdc578529edcae7ceaa8f77c5,Paweł
Konrad Marcin Piotrowski,https://orcid.org/0000-0003-0742-9160,Paweł
Zbigniew Piskorz,https://orcid.org/0000-0002-9777-0268,Paweł
Agnieszka Ewa Popiel,https://orcid.org/0000-0001-9990-4971,Paweł
Katarzyna Anna Popiołek,https://orcid.org/0000-0002-6883-9377,Paweł
Agnieszka Popławska,https://orcid.org/0000-0001-8689-6757,Paweł
Aleksandra Honorata Porada,https://orcid.org/0000-0003-3696-1535,Paweł
Marta Porębiak,,Paweł
Aleksandra Rabinovitch,https://orcid.org/0000-0002-4773-7814,Paweł
Sylwiusz Retowski,https://orcid.org/0000-0002-6133-0658,Paweł
Marta Anna Roczniewska,https://orcid.org/0000-0003-0815-1455,Paweł
Danuta Rode,https://orcid.org/0000-0002-4409-6396,Paweł
Anna Maria Rogala,https://orcid.org/0000-0003-0580-1838,Paweł
Joanna Maria Roszak,https://orcid.org/0000-0002-4203-8010,Paweł
Krystyna Jolanta Rymarczyk,https://orcid.org/0000-0002-0210-2487,Paweł
Katarzyna Julia Samson,https://orcid.org/0000-0003-0248-8233,Hubert
Katarzyna Maria Sanna,https://swps.pl/katarzyna-sanna,Hubert
Ralf Schwarzer,https://orcid.org/0000-0002-0069-3826,Hubert
Grzegorz Sędek,https://orcid.org/0000-0001-8932-0868,Hubert
Maria Sidoruk-Grymuza,https://orcid.org/0000-0002-1919-3426,Hubert
Anna Halina Siwy-Hudowska,https://www.researchgate.net/profile/Anna-Siwy-Hudowska/publications,Hubert
Krystyna Janina Skarżyńska,https://orcid.org/0000-0003-1327-6850,Hubert
Ewelina Alicja Smoktunowicz,https://orcid.org/0000-0002-1748-3876,Hubert
Agata Anna Sobków,https://orcid.org/0000-0002-5357-744X,Hubert
Adam Sobolewski,https://swps.pl/adam-sobolewski,Hubert
Joanna Sokołowska-Pohorille,https://orcid.org/0000-0001-5239-1435,Hubert
Wiesława Barbara Sotwin,https://swps.pl/wieslawa-sotwin,Hubert
Dorota Jadwiga Stasik-Rogalińska,https://orcid.org/0000-0002-1013-0365,Hubert
Patrycja Aleksandra Stawiarska,https://swps.pl/patrycja-stawiarska,Hubert
Anna Katarzyna Strużyńska-Kujałowicz,https://swps.pl/podyplomowe-wykladowcy/14585-struzynska-kujalowicz-anna,Hubert
Monika Maria Suchowierska-Stephany,https://orcid.org/0000-0003-3961-4184,Hubert
Joanna Marta Sweklej,https://orcid.org/0000-0002-6069-3051,Hubert
Marta Szastok,https://orcid.org/0000-0001-7674-7651,Hubert
Dorota Daniela Szczygieł,https://orcid.org/0000-0001-9746-1505,Hubert
Joanna Maria Szen - Ziemiańska,https://www.researchgate.net/profile/Joanna-Szen-Ziemianska,Hubert
Beata Maria Szramka-Pawlak,https://swps.pl/beata-szramka-pawlak,Hubert
Aleksandra Szymków-Sudziarska,https://orcid.org/0000-0002-6550-7369,Hubert
Izabela Jolanta Śliwińska,https://swps.pl/izabela-sliwinska,Hubert
Magdalena Katarzyna Śniegulska,https://swps.pl/magdalena-sniegulska,Hubert
Łukasz Lech Tanaś,https://orcid.org/0000-0001-8038-8225,Hubert
Kamil Adam Tomaszewski,https://swps.pl/kamil-tomaszewski,Hubert
Jakub Traczyk,https://orcid.org/0000-0001-9145-1998,Hubert
Anna Trejnowska,https://swps.pl/anna-trejnowska,Hubert
Ewa Jadwiga Trzebińska,https://orcid.org/0000-0002-3910-0717,Hubert
Jerzy Stefan Trzebiński,https://orcid.org/0000-0003-3948-1676,Hubert
Dominika Agata Ustjan,https://swps.pl/podyplomowe-wykladowcy/14338-ustjan-dominika,Hubert
Anna Olimpia Waligórska,https://orcid.org/0000-0003-3736-7984,Hubert
Małgorzata Wawrzyniak,https://swps.pl/malgorzata-wawrzyniak,Hubert
Piotr Winkielman,https://orcid.org/0000-0001-8966-6148,Hubert
Katarzyna Winkowska-Nowak,https://swps.pl/struktura/wydzial-psychologii-warszawa/54-spolecznosc/pracownicy-naukowo-dydaktyczni/28270-winkowska-nowak-katarzyna,Hubert
Dorota Joanna Wiśniewska-Juszczak,https://swps.pl/dorota-wisniewska-juszczak,Hubert
Magdalena Witkowska,https://orcid.org/0000-0001-9342-6112,Hubert
Bogdan Stefan Wojciszke,https://orcid.org/0000-0002-6328-8043,Hubert
Małgorzata Maria Wójcik,https://orcid.org/0000-0002-8950-3119,Hubert
Agata Magdalena Wytykowska-Kaczorek,https://orcid.org/0000-0003-1541-8699,Hubert
Agata Aneta Zabłocka,https://swps.pl/agata-zablocka,Hubert
Dominika Maria Zajusz-Gawędzka,https://orcid.org/0000-0003-1098-1933,Hubert
Marzenna Teresa Zakrzewska,https://swps.pl/54-spolecznosc/pracownicy-naukowo-dydaktyczni/31355-marzenna-zakrzewska,Hubert
Jacek Marian Zakrzewski,https://swps.pl/nauka-i-badania/pracownicy-naukowi/16592-zakrzewski-jacek,Hubert
Tomasz Wojciech Zaleśkiewicz,https://orcid.org/0000-0002-4232-6151,Hubert
Anna Maria Zalewska,https://orcid.org/0000-0002-7285-4748,Hubert
Karolina Zalewska-Łunkiewicz,https://orcid.org/0000-0002-5130-8510,Hubert
Karolina Zarychta-Zajączkowska,https://orcid.org/0000-0003-2072-0841,Hubert
Mateusz Piotr Zatorski,https://orcid.org/0000-0002-0043-0815,Hubert
Katarzyna Natalia Zawadzka,https://www.researchgate.net/profile/Katarzyna-Zawadzka,Hubert
Elżbieta Zdankiewicz-Ścigała,https://orcid.org/0000-0002-8275-2585,Hubert
Mariusz Zięba,https://orcid.org/0000-0002-3492-2236,Hubert
Justyna Mirosława Ziółkowska,https://orcid.org/0000-0001-8828-6047,Hubert
Anna Maria Ziółkowska,https://orcid.org/0000-0002-1992-1518,Hubert
Dorota Genowefa Żelechowska,https://orcid.org/0000-0001-6691-2350,Hubert
Jolanta Grażyna Życińska,https://orcid.org/0000-0002-1761-7328,Hubert
